p,q
10.0,922528.219780232
15.0,854432.947186511
20.0,788384.063667243
25.0,725862.689638743
30.0,671402.263447808
35.0,628852.858454938
40.0,595550.441531339
45.0,569091.892562501
50.0,547950.077897067
55.0,530479.660453121
60.0,516004.551417564
