p, q
10.0,983890.0241458876
15.0,913442.0788949153
20.0,845032.3825737094
25.0,778811.2065066823
30.0,720969.0864939471
35.0,674965.5832461524
40.0,639120.2071201905
45.0,610975.2990255815
50.0,588088.5590519021
55.0,569221.207412182
60.0,553817.3580263963
