age,value,current_asset,current_quantity,current_mortgage_rate,current_origination_ltv,fico_score,current_ltv,wage,consumption,future_asset,future_quantity,new_mortgage_rate,new_origination_ltv,status,average_bequest,
30.0,2.014851177001424,0.5,0.5,0.03209488244454717,0.5,0.5,0.5,1.0,0.9908953551805093,0.0,0.0,NaN,NaN,5.0,10.239166621670105,
30.0,1.8132320894771983,0.25,0.5,0.03209488244454717,0.5,0.5,0.5,1.0,0.7333953551805092,0.0,0.0,NaN,NaN,5.0,10.239166621670105,
30.0,2.1696247656509815,0.75,0.5,0.03209488244454717,0.5,0.5,0.5,1.0,1.2483953551805091,0.0,0.0,NaN,NaN,5.0,10.239166621670105,
30.0,1.683893396071934,0.125,0.5,0.03209488244454717,0.5,0.5,0.5,1.0,0.6046453551805091,0.0,0.0,NaN,NaN,5.0,10.239166621670105,
30.0,1.9215971924087158,0.375,0.5,0.03209488244454717,0.5,0.5,0.5,1.0,0.8621453551805092,0.0,0.0,NaN,NaN,5.0,10.239166621670105,
30.0,2.0966972603842704,0.625,0.5,0.03209488244454717,0.5,0.5,0.5,1.0,1.1196453551805092,0.0,0.0,NaN,NaN,5.0,10.239166621670105,
30.0,2.23538778666244,0.875,0.5,0.03209488244454717,0.5,0.5,0.5,1.0,1.3771453551805093,0.0,0.0,NaN,NaN,5.0,10.239166621670105,
30.0,1.6084698717524604,0.0625,0.5,0.03209488244454717,0.5,0.5,0.5,1.0,0.5402703551805093,0.0,0.0,NaN,NaN,5.0,10.239166621670105,
30.0,1.7516788970865078,0.1875,0.5,0.03209488244454717,0.5,0.5,0.5,1.0,0.6690203551805092,0.0,0.0,NaN,NaN,5.0,10.239166621670105,
30.0,1.8696031144868233,0.3125,0.5,0.03209488244454717,0.5,0.5,0.5,1.0,0.7977703551805091,0.0,0.0,NaN,NaN,5.0,10.239166621670105,
30.0,1.9698453218605514,0.4375,0.5,0.03209488244454717,0.5,0.5,0.5,1.0,0.9265203551805092,0.0,0.0,NaN,NaN,5.0,10.239166621670105,
30.0,2.057023215027364,0.5625,0.5,0.03209488244454717,0.5,0.5,0.5,1.0,1.0552703551805092,0.0,0.0,NaN,NaN,5.0,10.239166621670105,
30.0,2.1341527663089033,0.6875,0.5,0.03209488244454717,0.5,0.5,0.5,1.0,1.184020355180509,1.734723475976807E-18,0.0,NaN,NaN,5.0,10.239166621670105,
30.0,2.203312813466599,0.8125,0.5,0.03209488244454717,0.5,0.5,0.5,1.0,1.3127703551805092,0.0,0.0,NaN,NaN,5.0,10.239166621670105,
30.0,2.2659971288376872,0.9375,0.5,0.03209488244454717,0.5,0.5,0.5,1.0,1.4415203551805094,0.0,0.0,NaN,NaN,5.0,10.239166621670105,
30.0,1.2709721683069812,0.5,0.25,0.03209488244454717,0.5,0.5,0.5,1.0,1.2529476775902548,0.0,0.0,NaN,NaN,5.0,5.119583310835052,
30.0,2.3361649535225393,0.5,0.75,0.03209488244454717,0.5,0.5,0.5,1.0,0.7288430327707639,1.734723475976807E-18,0.0,NaN,NaN,5.0,15.358749932505155,
30.0,0.4365190584222403,0.5,0.125,0.03209488244454717,0.5,0.5,0.5,1.0,1.3839738387951275,0.0,0.0,NaN,NaN,5.0,2.559791655417526,
30.0,1.7240712470231785,0.5,0.375,0.03209488244454717,0.5,0.5,0.5,1.0,1.121921516385382,0.0,0.0,NaN,NaN,5.0,7.679374966252578,
30.0,2.2099125942384656,0.5,0.625,0.03209488244454717,0.5,0.5,0.5,1.0,0.8598691939756365,0.0,0.0,NaN,NaN,5.0,12.798958277087632,
30.0,2.4037843122016973,0.5,0.875,0.03209488244454717,0.5,0.5,0.5,1.0,0.597816871565891,0.0,0.0,NaN,NaN,5.0,17.91854158792268,
30.0,-0.3753846033668148,0.5,0.0625,0.03209488244454717,0.5,0.5,0.5,1.0,1.0945064506475637,0.35498046875,0.0,NaN,NaN,5.0,1.6455257105212633,
30.0,0.9311327253233428,0.5,0.1875,0.03209488244454717,0.5,0.5,0.5,1.0,1.318460758192691,0.0,0.0,NaN,NaN,5.0,3.839687483126289,
30.0,1.5250772804592176,0.5,0.3125,0.03209488244454717,0.5,0.5,0.5,1.0,1.1874345969878184,0.0,0.0,NaN,NaN,5.0,6.399479138543816,
30.0,1.884154592176132,0.5,0.4375,0.03209488244454717,0.5,0.5,0.5,1.0,1.0564084357829455,0.0,0.0,NaN,NaN,5.0,8.95927079396134,
30.0,2.1221397755664806,0.5,0.5625,0.03209488244454717,0.5,0.5,0.5,1.0,0.925382274578073,0.0,0.0,NaN,NaN,5.0,11.519062449378868,
